Date,Total_Consumption
2021-07-30,16.799999999999997
2021-08-16,5.7
2021-08-17,20.6
2021-08-18,12.9
2021-08-19,15.5
2021-08-20,12.0
2021-08-21,11.6
2021-08-22,13.4
2021-08-23,23.3
2021-08-24,17.8
2021-08-25,20.0
2021-08-26,20.0
2021-08-27,6.8
2021-08-28,15.4
2021-08-29,19.8
2021-08-30,22.9
2021-08-31,15.0
2021-09-01,15.0
2021-09-01,18.217853980029794
2021-09-02,31.014099873593675
2021-09-03,56.76002741027402
2021-09-04,89.67267134737737
2021-09-05,12.895659061299973
2021-09-06,101.02284216081587
2021-09-07,25.717319944425675
2021-09-08,56.477333339642065
2021-09-09,86.98897470038057
2021-09-10,61.181296511983746
2021-09-11,83.83203827868853
2021-09-12,78.36508024635216
2021-09-13,45.46412362217632
2021-09-14,81.13112821786315
2021-09-15,21.83325876392173
2021-09-16,42.43966661800636
2021-09-17,80.00380676000111
2021-09-18,98.78551869519693
2021-09-19,13.291825466754368
2021-09-20,69.28071761286685
2021-09-21,4.388458725515882
2021-09-22,9.178310139923965
2021-09-23,45.71889656874599
2021-09-24,8.650226686487787
2021-09-25,69.09282270484702
2021-09-26,103.73715921537047
2021-09-27,81.10360203546735
2021-09-28,31.108117971880905
2021-09-29,86.94928832344205
2021-09-30,57.07578332501853
2021-10-01,11.127060679680104
2021-10-02,12.74545246320679
2021-10-03,36.40296322763636
2021-10-04,37.4606864207657
2021-10-05,56.801942177654865
2021-10-06,73.59306595754877
2021-10-07,78.21135521217398
2021-10-08,95.67628701718567
2021-10-09,55.226617584114145
2021-10-10,102.75583528286465
2021-10-11,104.97411654912038
2021-10-12,93.18536143197183
2021-10-13,22.02111771103202
2021-10-14,22.230625806616885
2021-10-15,4.86509245574041
2021-10-16,88.53212790989463
2021-10-17,94.68786595346236
2021-10-18,109.51250875446861
2021-10-19,49.28135878354902
2021-10-20,21.424518142250477
2021-10-21,101.1373162979451
2021-10-22,96.29292963040443
2021-10-23,28.654713572990524
2021-10-24,18.472615828052238
2021-10-25,90.60341778019603
2021-10-26,50.88995951668652
2021-10-27,53.16850235768748
2021-10-28,80.16966330699167
2021-10-29,76.68756946332559
2021-10-30,91.62996126494563
2021-10-31,99.40440684459763
2021-11-01,28.40019267554358
2021-11-02,35.00352710815379
2021-11-03,57.16994808496122
2021-11-04,59.434879647338505
2021-11-05,76.1419341918123
2021-11-06,26.609308954962287
2021-11-07,77.71565697348152
2021-11-08,69.78333658198467
2021-11-09,93.09780131811416
2021-11-10,70.0836201628483
2021-11-11,84.49233715676424
2021-11-12,61.49714839461673
2021-11-13,75.76940149849722
2021-11-14,43.11304141643079
2021-11-15,71.48117074608408
2021-11-16,92.23839602962143
2021-11-17,70.55542508545565
2021-11-18,6.484323109956897
2021-11-19,90.67965825375205
2021-11-20,34.99311897952329
2021-11-21,63.33915669265866
2021-11-22,16.812291842732467
2021-11-23,86.6636991143202
2021-11-24,4.545910574604605
2021-11-25,60.7267020345985
2021-11-26,111.12513723247896
2021-11-27,58.14410581585639
2021-11-28,58.94454706695877
2021-11-29,84.81107200379526
2021-11-30,70.78179917918062
2021-12-01,80.69439731744406
2021-12-02,65.56683414489564
2021-12-03,35.539641668297996
2021-12-04,90.85852235503684
2021-12-05,85.84705552188564
2021-12-06,42.89495072867576
